doc_id	relation_id	relation_name	gene_words	hpoterm_words	words	expectation
journal.pone.0072570.pdf	RELATION_GENEHPOTERM_journal.pone.0072570.pdf_444_444_10_10_24_24	PTEN/HP:0003006|Neuroblastoma	{10}	{24}	{Mechanistically,",",GRP,silencing,resulted,in,upregulation,of,tumor,suppressor,PTEN,with,subsequent,downregulation,of,critical,oncogenes,and,proliferation,/,survival,pathways,implicated,in,neuroblastoma,progression,.}	0.99
journal.pone.0007287.pdf	RELATION_GENEHPOTERM_journal.pone.0007287.pdf_450_450_21_21_33_34	PIK3CA/HP:0003003|Colon cancer	{21}	{33,34}	{Ogino,S,",",Nosho,K,",",Kirkner,G,],",",Shima,K,",",Irahara,N,",",et,al.,(,2009,),PIK3CA,mutation,is,associated,with,poor,prognosis,among,patients,with,curatively,resected,colon,cancer,.}	0.974
SCPDFS_39518.pdf	RELATION_GENEHPOTERM_SCPDFS_39518.pdf_322_322_9_9_22_22	HHS/HP:0001251|Ataxia	{9}	{22}	{Further,",",the,brain,abnormalities,are,more,pronounced,in,HHS,patients,who,exhibit,severe,microcephaly,",",mental,retardation,with,spastic,paresis,and,ataxia,",",and,pancerebellar,hypoplasia,(,Aalfs,et,al.,",",1995,;,Nespoli,et,al.,",",1997,;,Mahmood,et,al.,",",1998,),.}	0.86
journal.pone.0097402.pdf	RELATION_GENEHPOTERM_journal.pone.0097402.pdf_379_379_15_15_28_28	ALDH3A1/HP:0001059|Pterygium	{15}	{28}	{Schematic,showing,how,UV,may,trigger,upstream,molecular,disturbances,such,as,S1OOA8,and,S100A9,",",ALDH3A1,",",and,SERPINAZ,which,result,in,a,cascade,of,events,leading,to,pterygium,progression,.}	0.894
SCPDFS_18784.pdf	RELATION_GENEHPOTERM_SCPDFS_18784.pdf_137_137_4_4_26_26	CCND1/HP:0002665|Lymphoma	{4}	{26}	{Ampliﬁcation,or,overexpression,of,CCND1,plays,pivotal,roles,in,the,development,of,several,human,cancers,",",including,parathyroid,adenoma,",",breast,cancer,",",colon,cancer,",",lymphoma,",",melanoma,",",and,prostate,cancer,(,),.}	1
journal.pone.0064873.pdf	RELATION_GENEHPOTERM_journal.pone.0064873.pdf_632_632_4_4_9_9	PAICS/HP:0002861|Melanoma	{4}	{9}	{The,induced,knockdown,of,PAICS,in,Mel,],uSo,melanoma,cells,also,decreased,tumor,xenograft,growth,;,however,",",the,difference,compared,with,tumor,growth,of,the,parental,cell,line,with,endogenous,PAICS,expression,was,rather,small,(,Fig,.}	0.856
journal.pone.0014176.pdf	RELATION_GENEHPOTERM_journal.pone.0014176.pdf_848_848_23_23_37_37	YY1/HP:0001337|Tremor	{23}	{37}	{The,role,of,overexpression,of,YY1,in,the,differentiation,of,oligodendrocyte,progenitors,has,been,studied,in,[,238,],",",conditional,ablation,of,YY1,in,the,oligodencrocyte,linage,gives,phenotypes,which,have,defective,myelination,",",ataxia,and,tremor,.}	0.848
SCPDFS_42532.pdf	RELATION_GENEHPOTERM_SCPDFS_42532.pdf_17_17_3_3_15_15	NTRK2/HP:0002459|Dysautonomia	{3}	{15}	{Therefore,",",the,NTRK2,gene,can,now,be,excluded,as,a,candidate,gene,for,familial,dysautonomia,.}	0.814
journal.pcbi.1003632.pdf	RELATION_GENEHPOTERM_journal.pcbi.1003632.pdf_361_361_31_31_0_0	SLC1A2/HP:0000726|Dementia	{31}	{0}	{Dementia,with,Lewy,Bodies,(,DLB,),SNCA,(,15,),SNCB,",",brain,SNCB,mutations,lead,to,DLB,[,50,],Dementia,frontotemporal,with,or,without,MAPT,(,13,),SLC1A2,",",brain,SLC1A2,polymorphisms,are,associated,with,parkinsonism,essential,tremor,[,51,],Sex,Reversal,SOX9,(,14,),NRSA1,",",testis,NRSA1,mutations,are,related,to,XY,sex,reversal,[,52,]}	0.994
journal.pone.0063512.pdf	RELATION_GENEHPOTERM_journal.pone.0063512.pdf_176_176_5_5_21_24	TWIST2/HP:0007485|Absence of subcutaneous fat	{5}	{21,23,24}	{Finally,",",complete,deﬁciency,of,TWIST2,in,humans,and,mice,causes,bitemporal,skin,lesions,(,characterized,by,hypoplastic,dermis,and,the,absence,of,subcutaneous,fat,and,epidermal,appendages,),[,38,],",",unraveling,an,evolutionary,conserved,cryptic,expression,of,this,gene,in,mammals,at,the,exact,anatomical,location,of,horns,in,Bovidae,and,constituting,an,additional,argument,in,favor,of,a,possible,role,of,TWIST2,in,horn,ontogenesis,.}	0.86
