doc_id	relation_id	relation_name	gene_words	hpoterm_words	words	expectation
SCPDFS_26380.pdf	RELATION_GENEHPOTERM_SCPDFS_26380.pdf_251_251_25_25_19_19	IFN/HP:0001909|Leukemia	{25}	{19}	{The,human,equivalent,of,IRF,—,4,was,isolated,by,a,third,group,from,an,adult,T,—,cell,leukemia,cell,line,",",as,the,IFN,consensus,sequence,—,binding,protein,in,adult,T,—,cell,leukemia,cell,lines,or,activated,T,—,cells,(,ICSAT,),(,Yamagata,et,al.,",",1996,),.}	0.72
gb-2007-8-8-r174.pdf	RELATION_GENEHPOTERM_gb-2007-8-8-r174.pdf_616_616_3_3_7_8	LE/HP:0001928|Abnormality of coagulation	{3}	{7,8}	{Kagan,E.,Hensley,LE,:,Mechanisms,underlying,coagulation,abnormalities,in,ebola,hemorrhagic,fever,:,overexpression,of,tissue,factor,in,primate,monocyteslmacrophages,is,a,key,event,.}	0.588
journal.pone.0089329.pdf	RELATION_GENEHPOTERM_journal.pone.0089329.pdf_33_33_37_37_22_23	CRS/HP:0012265|Ciliary dyskinesia	{37}	{22,23}	{Patients,with,CRS,are,also,more,likely,to,report,a,positive,family,history,PIe,2,Observations,of,the,sinonasal,manifestations,of,primary,ciliary,dyskinesia,and,cystic,ﬁbrosis,(,CF,),raise,the,possibility,that,the,development,of,CRS,may,have,a,common,genetic,etiology,.}	0.774
journal.pone.0002412.pdf	RELATION_GENEHPOTERM_journal.pone.0002412.pdf_217_217_32_32_36_36	RGS4/HP:0100753|Schizophrenia	{32}	{36}	{Nlirnics,K,",",l,"\\\\",’,Iiddleton,FA,",",Stanwood,GD,",",Lewis,DA,",",Levitt,P,(,2001,),Disease,speciﬁc,changes,in,regulator,of,G,~,protein,signaling,4,(,RGS4,),expression,in,schizophrenia,.}	0.796
SCPDFS_46500.pdf	RELATION_GENEHPOTERM_SCPDFS_46500.pdf_245_245_14_14_22_22	IKAP/HP:0002459|Dysautonomia	{14}	{22}	{20,Anderson,",",S.L.,et,al.,(,2003,),EGCG,corrects,aberrant,splicing,of,IKAP,mRNA,in,cells,from,patients,with,familial,dysautonomia,.}	0.446
journal.pone.0024650.pdf	RELATION_GENEHPOTERM_journal.pone.0024650.pdf_77_77_12_12_4_4	IL-6/HP:0004326|Cachexia	{12}	{4}	{After,the,initiation,of,cachexia,",",we,hypothesized,that,the,suppression,of,IL-6,signaling,would,rescue,muscle,mass,through,the,induction,of,muscle,protein,synthesis,and,repression,of,ATP,dependent,protein,degradation,.}	0.548
journal.pone.0070522.pdf	RELATION_GENEHPOTERM_journal.pone.0070522.pdf_39_39_30_30_22_22	PRAME/HP:0001909|Leukemia	{30}	{22}	{Due,to,its,highly,tumorspeciﬁc,expression,pattern,and,more,importantly,",",its,well,deﬁned,immunogenicity,as,demonstrated,by,speciﬁc,killing,of,PRAMEexpressing,leukemia,cells,by,PRAME,antigen-speciﬁc,CTL,clones,",",PRAME,has,been,recognized,as,a,promising,target,for,antileukemia,immunotherapy,[,"8,9,10",],.}	0.764
journal.pone.0002266.pdf	RELATION_GENEHPOTERM_journal.pone.0002266.pdf_40_40_34_34_9_11	CD2/HP:0100494|Abnormality of mast cells	{34}	{9,10,11}	{Minor,criteria,for,a,diagnosis,of,SM,can,include,abnormal,mast,cell,morphologies,in,the,bone,marrow,and,other,extracutaneous,organs,",",mutation,of,the,tyrosine,kinase,KIT,at,codon,816,",",expression,of,CD2,and,/,or,CD25,by,bone,marrow,mast,cells,",",and,a,serum,tryptase,level,>,20,ng/mL,.}	0.598
journal.pone.0057796.pdf	RELATION_GENEHPOTERM_journal.pone.0057796.pdf_355_355_18_18_9_14	RBP4/HP:0009126|Increased adipose tissue	{18}	{9,10,14}	{Thus,",",we,expected,that,an,inﬂammatory,milieu,in,adipose,tissue,would,cause,an,increase,in,adipose,tissue,RBP4,and,might,therefore,contribute,to,the,increase,in,circulating,RBP4,levels,.}	0.588
journal.pone.0093589.pdf	RELATION_GENEHPOTERM_journal.pone.0093589.pdf_347_347_5_5_13_15	catalase/HP:0002216|Premature graying of hair	{5}	{13,14,15}	{These,results,reveal,that,compromised,catalase,activity,may,contribute,to,the,pathogenesis,of,premature,graying,hair,.}	0.54
journal.pone.0025456.pdf	RELATION_GENEHPOTERM_journal.pone.0025456.pdf_376_376_20_20_32_32	S100B/HP:0002045|Hypothermia	{20}	{32}	{Schmitt,KR,",",Kern,C,",",Lange,PE,",",Berger,F,",",Abdul-Khaliq,H,",",et,al.,(,2007,),S100B,modulates,IL-6,release,and,cytotoxicity,from,hypothermic,brain,cells,and,inhibits,hypothermia,~,induced,axonal,outgrowth,.}	0.68
journal.pone.0047625.pdf	RELATION_GENEHPOTERM_journal.pone.0047625.pdf_108_108_12_12_23_23	FH/HP:0002090|Pneumonia	{12}	{23}	{The,assembled,set,included,reference,strains,B9-M129,(,type,1,),",",FH,(,type,2,),[,9,],",",other,M.,pneumoniae,strains,deposited,in,ATCC,as,well,as,clinical,strains,of,different,geographic,origins,collected,at,different,times,by,us,and,others,(,Table,2,),.}	0.428
journal.pone.0064702.pdf	RELATION_GENEHPOTERM_journal.pone.0064702.pdf_285_285_37_37_21_23	ART/HP:0005344|Abnormality of the carotid arteries	{37}	{21,22,23}	{It,was,concluded,that,HIV-associated,T,cell,changes,",",characterized,by,speciﬁc,senescence,and,activation,markers,",",are,associated,with,subclinical,carotid,artery,abnormalities,",",which,are,observed,even,among,those,patients,achieving,viral,suppression,with,effective,ART,[,27,],.}	0.442
journal.pone.0015008.pdf	RELATION_GENEHPOTERM_journal.pone.0015008.pdf_327_327_7_7_12_13	SPG3A/HP:0001258|Spastic paraplegia	{7}	{12,13}	{Mutations,in,Atll,",",also,known,as,SPG3A,cause,autosomal,dominant,hereditary,spastic,paraplegia,[,20,],.}	0.63
journal.pone.0092515.pdf	RELATION_GENEHPOTERM_journal.pone.0092515.pdf_29_29_30_30_45_46	CD11b/HP:0200119|Acute hepatitis	{30}	{45,46}	{Citation,:,Sato,A,",",Nakashima,H,",",Nakashima,M,",",lkarashi,M,",",Nishiyama,K,",",et,al.,(,2014,),Involvement,of,the,TNF,and,FasL,Produced,by,CD11b,Kupffer,Ce,|,|,s,/,Macrophages,in,CC,|,4,—,|,nduced,Acute,Hepatic,Injury,.}	0.5
journal.pone.0024040.pdf	RELATION_GENEHPOTERM_journal.pone.0024040.pdf_546_546_4_4_14_15	malin/HP:0100318|Lafora bodies	{4}	{14,15}	{Genetic,depletion,of,the,malin,E3,ul,),iquitin,ligase,in,mice,leads,to,lafora,bodies,and,the,accumulation,of,insoluble,laforin,.}	0.532
journal.pone.0066664.pdf	RELATION_GENEHPOTERM_journal.pone.0066664.pdf_347_347_20_20_29_30	CCR5/HP:0002354|Memory impairment	{20}	{29,30}	{Lee,YK,",",Kwak,DH,",",Oh,KVV,",",Nam,SY,",",Lee,BJ,",",et,al.,(,2009,),CCR5,deficiency,induces,astrocyte,activation,",",Abeta,deposit,and,impaired,memory,function,.}	0.518
journal.pone.0074124.pdf	RELATION_GENEHPOTERM_journal.pone.0074124.pdf_32_32_20_20_39_41	L1/HP:0002079|Hypoplasia of the corpus callosum	{20}	{39,40,41}	{Mutations,in,human,CAM,genes,such,as,neural,cell,adhesion,molecule,(,NCAM,),",",Ll-CAM,and,close,homologue,of,L1,(,CHLl,),are,associated,with,brain,disorders,and,psychological,diseases,such,as,schizophrenia,and,CRASH,syndrome,(,Corpus,callosum,hypoplasia,",",Retardation,",",Adducted,thumbs,",",Spastic,paraplegia,and,Hydrocephalus,),[,6,—,8,],.}	0.606
journal.pone.0070480.pdf	RELATION_GENEHPOTERM_journal.pone.0070480.pdf_120_120_1_1_6_6	SMG/HP:0002186|Apraxia	{1}	{6}	{The,SMG,is,associated,with,ideomotor,apraxia,and,is,believed,to,store,representations,of,the,limb,and,hand,subserving,skilled,object-related,actions,[,36,—,39,],.}	0.664
journal.pone.0068268.pdf	RELATION_GENEHPOTERM_journal.pone.0068268.pdf_15_15_3_3_7_10	leptin/HP:0009126|Increased adipose tissue	{3}	{7,8,10}	{Methylation,of,the,leptin,gene,promoter,in,adipose,tissue,was,increased,in,methyl,donor,supplemented,groups,but,not,affected,by,protein,restriction,only,.}	0.778
journal.pone.0074412.pdf	RELATION_GENEHPOTERM_journal.pone.0074412.pdf_529_529_3_3_10_11	SP-C/HP:0011450|CNS infection	{3}	{10,11}	{The,level,of,SP-C,in,CSF,from,patients,with,a,CNS,infection,was,slightly,decreased,",",but,did,not,reach,statistical,signiﬁcance,(,p,=,0.072,),compared,to,the,level,of,SP-C,in,the,healthy,group,.}	0.616
SCPDFS_1782.pdf	RELATION_GENEHPOTERM_SCPDFS_1782.pdf_519_519_49_49_41_42	OSR1/HP:0000076|Vesicoureteral reflux	{49}	{41,42}	{Frederick,Cancer,81,Developmental,Biology,Lab,",",United,States,;,Sharma,",",Nirmala,(,Frederick,",",MD,",",United,States,),;,Tarasova,",",Nadya,;,Yamaguchi,",",Terry,;,Perantoni,",",Alan,(,Frederick,",",United,States,),Incidence,of,Vesicoureteric,Reflux,and,Other,Urinary,Tract,Abnormalities,in,OSR1,Deﬁcient,Mice,.}	0.692
journal.pgen.1000541.pdf	RELATION_GENEHPOTERM_journal.pgen.1000541.pdf_664_664_42_42_45_47	COL9A2/HP:0002654|Multiple epiphyseal dysplasia	{42}	{45,46,47}	{Nluragaki,Y,",",1VIariman,EC,",",van,Beersum,SE,",",Perala,IVI,",",van,1,"\\\\",’,Iouri1,<,JB,",",et,al.,(,1996,),A,mutation,in,the,gene,encoding,the,alpha,2,chain,of,the,fibril-associated,collagen,IX,",",COL9A2,",",causes,multiple,epiphyseal,dysplasia,(,EDNI2,),.}	0.418
journal.pone.0051233.pdf	RELATION_GENEHPOTERM_journal.pone.0051233.pdf_355_355_34_34_27_28	SOCS/HP:0000855|Insulin resistance	{34}	{27,28}	{VVada,T,",",Hoshino,1V1,",",Kimura,Y,",",Ojima,"l\\\\/I",",",Nakano,T,",",et,al.,(,2011,),Both,type,I,and,II,IFN,induce,insulin,resistance,by,inducing,different,isoforms,of,SOCS,expression,in,3T3-Ll,adipocytes,.}	0.418
journal.pone.0080705.pdf	RELATION_GENEHPOTERM_journal.pone.0080705.pdf_499_499_3_3_11_12	LRRK2/HP:0000077|Abnormality of the kidney	{3}	{11,12}	{Given,that,the,LRRK2,heterozygous,KO,mouse,kidney,is,devoid,of,kidney,abnormalities,and,the,lung,abnormality,is,only,associated,with,Ko,and,not,KD,mice,[,16,],",",pharmacological,LRRK2,kinase,inhibition,of,less,than,50,%,may,be,tolerable,.}	0.634
journal.pone.0093409.pdf	RELATION_GENEHPOTERM_journal.pone.0093409.pdf_191_191_4_4_10_11	L1/HP:0001181|Adducted thumb	{4}	{10,11}	{The,major,features,of,L1,syndrome,include,congenital,hydrocephalus,",",adducted,thumbs,",",spastic,paraplegia,",",agenesis,of,the,corpus,callosum,and,cognitive,impairment,[,6,],.}	0.782
journal.pone.0018017.pdf	RELATION_GENEHPOTERM_journal.pone.0018017.pdf_770_770_21_21_28_30	D1/HP:0002860|Squamous cell carcinoma	{21}	{28,29,30}	{Nfonteiro,E,",",Varzim,G,",",Pires,Al,"\\\\",’,I,",",Teixeira,N1,",",Lopes,C,(,2004,),Cyclin,D1,A870G,polymorphism,and,ampliﬁcation,in,laryngeal,squamous,cell,carcinoma,:,implications,oftumor,localization,and,tobacco,exposure,.}	0.666
journal.pgen.1003270.pdf	RELATION_GENEHPOTERM_journal.pgen.1003270.pdf_347_347_26_26_32_32	TCRA/HP:0100786|Hypersomnia	{26}	{32}	{Nliyagawa,T,",",Honda,IVI,",",Kawashima,NI,",",Shimada,l,"\\\\",’,I,",",Tanaka,S,",",et,al.,(,2010,),Polymorphism,located,in,TCRA,locus,confers,susceptibility,to,essential,hypersomnia,with,HLA,~,DRBl,*,l.50l-DQ,_,Bl,*,0602,haplotype,.}	0.792
SCPDFS_20798.pdf	RELATION_GENEHPOTERM_SCPDFS_20798.pdf_195_195_58_58_30_31	p13/HP:0000411|Protruding ear	{58}	{30,31}	{11,dup,17p13,;,0,—,3700.000,"3,7",Mb,De,novo,FISH,63,genes,;,YWHAE,",",LIS1,",",Overlapping,M,11,MA,:,hypotonic,face,:,open,mouth,",",protruding,ears,;,ID,",",severe,axial,der,(,14,),ASPA,rare,17p13,deletion,hypotonia,",",normal,muscle,biopsy,t,14,;,17,),(,p13,:,p13,.2,)}	0.776
journal.pone.0085085.pdf	RELATION_GENEHPOTERM_journal.pone.0085085.pdf_413_413_24_24_26_27	PC-3/HP:0012125|Prostate cancer	{24}	{26,27}	{Kelavkar,UP,",",Nixon,JB,",",Cohen,C,",",Dillehay,D,",",Eling,TE,",",et,al.,(,2001,),Overexpression,of,15-lipoxygenase-1,in,PC-3,human,prostate,cancer,cells,increases,tumorigenesis,.}	0.406
